trench,profile,lon,lat,z_a,W,theta_l,theta_s,A,S,h_f,d_f,class,age_Ma,sed_m
aleutian,97,194.124,52.3679686013,-7131.04546754,51.0726257554,4.497020800461443,2.0591904710231375,0.3718352305151213,86.11451534139357,-20.120448970000325,67.0934223233,1,55.8571146659,505.364010329
aleutian,98,194.279,52.3898822338,-7122.43751767,47.060477522,4.938513127572407,2.0994543687843823,0.4033918542899873,77.49847542862113,88.01725152000017,57.0719410616,1,55.7586119857,472.302892211
aleutian,99,194.423,52.4280808665,-7122.56801809,50.0714844743,3.7995162299409735,2.330940495604511,0.2395540495730013,83.80920325151581,-44.0716344450002,77.1069854857,1,55.6062619268,449.239863357
aleutian,100,194.563,52.4702311557,-7113.65582616,51.0731246054,3.805566847056533,2.2617795499317,0.2544419250384572,83.48797115543876,1168.4016519199995,95.1313828735,1,55.4380322768,436.609264856
aleutian,101,194.704,52.5073312095,-7097.16296853,43.0550896753,7.11452883173126,2.1660950801714285,0.5332005475637592,74.75076169672609,-66.01394255499963,76.0947401523,1,55.2941129511,427.369708106
aleutian,102,194.856,52.5249262396,-7076.66775084,54.0660119811,3.1573809413838383,2.171936378278681,0.1849100933564903,85.17730174747547,-10.381323704998977,75.0884344393,1,55.2064493189,408.709824995
aleutian,103,195.009,52.5472368987,-7078.36706901,41.0553601384,4.602157006912104,2.6589744010441643,0.2676143009529793,70.91671617411431,-63.17658955499974,70.0918745641,1,55.1066505176,395.936240554
aleutian,104,195.148,52.5902730598,-7077.09789539,50.0783070519,3.354153917922139,2.4302617958578305,0.1597209066186856,76.64531515072747,249.95388840500073,65.0996032326,1,54.9329719511,398.735125243
aleutian,105,195.282,52.6415203108,-7069.08039875,45.0624247379,4.0361463259374135,2.4531486183973743,0.2439398611280583,71.12718677460533,336.6529341150008,67.0905642585,1,54.7331546113,406.194370965
aleutian,106,195.437,52.6590904395,-7036.04281914,39.0476057344,5.619800783572144,2.5041992846256163,0.3835058435244077,63.70405394852507,210.59950338499948,64.076023006,1,54.6449513274,389.848631316
