trench,profile,lon_x,lat_x,z_a,W,theta_l,theta_s,A,S,h_f,d_f,lon_y,lat_y,age_Ma,sed_m
philippine,23,125.762894457,12.6519411738,-7966.14724953,21.98350033874,17.077777185411357,6.571817132799225,0.44423426090325646,40.11315597601967,512.07899963,28.9783292352,125.762894457,12.6519411738,,762.478618342
philippine,24,125.808509354,12.5744587325,-8365.44697555,27.968369209,14.50689782520428,5.908955759154559,0.421140464713993,56.507823495367624,370.7136218199994,29.9662004256,125.808509354,12.5744587325,,764.364878183
philippine,25,125.864903587,12.5053742483,-8579.44650845,43.950243971199995,10.778794629522583,4.564515331211445,0.40501556145411044,92.73667226866999,-544.9332956925,42.9515543234,125.864903587,12.5053742483,,739.477552256
philippine,26,125.910461602,12.4278744869,-8561.24615702,38.9704803354,10.32992943893875,5.828048205452703,0.278616627189646,77.85813519417687,-252.29400732500017,61.9535167703,125.910461602,12.4278744869,,723.333306744
philippine,27,125.95239104,12.3475664087,-8566.65037841,28.977948300900003,10.674921931779304,7.579106451573752,0.16959628938830903,56.084789527998446,-54.57161478499984,56.9570716534,125.95239104,12.3475664087,,706.805894204
philippine,28,125.997895136,12.2700519442,-8329.60042998,30.959747450800002,8.426974340647007,6.955924950134984,0.09562887741152484,55.55342216892301,-346.3569846850005,44.9418963503,125.997895136,12.2700519442,,686.705390686
philippine,29,126.044149133,12.2258947322,-8046.41185111,34.9413884623,6.6120773004836355,6.247687221886436,0.02833567270717346,65.77336999096028,-268.7103848275001,58.9018595569,126.044149133,12.2258947322,,662.722062419
philippine,30,126.092685835,12.1654252236,-7843.83096934,33.9935265302,4.370984209918552,6.23169697930121,-0.1754945504986542,61.01590707931503,-130.16178303250035,34.99346125913,126.092685835,12.1654252236,,640.671203664
philippine,31,126.093815668,12.0726110957,-8111.03638409,38.9970281277,8.149437148906694,4.0954202295092,0.33107914564554597,71.50403685285863,-623.5941614349995,40.9969588447,126.093815668,12.0726110957,,650.224577616
philippine,32,126.140342173,11.9868569134,-8139.29302332,32.958934818779994,10.499088369200043,3.9754123443180895,0.45070128179200786,58.9885534626301,-132.12824931499927,44.944226100714005,126.140342173,11.9868569134,,633.50674104
philippine,33,126.215157665,11.9060273448,-7909.38462324,37.9809895043,5.520024846103508,4.020401862240065,0.1571861542159272,66.56484460207189,-229.1395903499997,30.984579646,126.215157665,11.9060273448,,604.094914274
philippine,34,126.218609576,11.8125082736,-7967.48981824,33.0042785574,5.921928749846362,3.857177623204046,0.2111390394865146,56.16364112432737,-227.01314404000004,65.00854973831001,126.218609576,11.8125082736,,613.000020165
philippine,35,126.231575733,11.7685654973,-8153.81928326,41.9529700859,7.245984593394168,3.637513074174266,0.33155439817594023,78.97485489172618,-775.0682302749992,36.9587008493,126.231575733,11.7685654973,,612.526994628
philippine,36,126.293104522,11.7025369027,-8161.14338443,39.9295710325,6.732466580844462,3.6370310652000963,0.29851354629750254,73.37798763273011,-317.7669161450003,80.85843981479,126.293104522,11.7025369027,,590.876120412
philippine,37,126.35460394,11.636495191,-8254.26294799,30.995783467180004,7.979120128765338,5.059076566271054,0.22396069263212887,63.40332082990327,-247.43262417000005,91.98807600257,126.35460394,11.636495191,,569.197518916
